,nodes,images,perturbed,times-took,hamming,per_perturbed,wrong
532,68,11,6,1,0,10,0.0
542,69,9,6,1,0,10,0.0
555,70,12,7,1,0,10,0.0
569,71,13,7,1,0,10,0.0
580,72,9,7,2,0,10,0.0
596,73,15,7,1,0,10,0.0
610,74,13,7,1,0,10,0.0
620,75,9,7,1,0,10,0.0
634,76,13,7,1,0,10,0.0
649,77,13,7,1,0,10,0.0
664,78,14,7,1,0,10,0.0
676,79,11,7,1,0,10,0.0
684,80,7,8,1,0,10,0.0
699,81,14,8,2,0,10,0.0
708,82,8,8,1,0,10,0.0
722,83,13,8,1,0,10,0.0
734,84,11,8,1,0,10,0.0
747,85,12,8,1,0,10,0.0
760,86,12,8,1,0,10,0.0
770,87,9,8,1,0,10,0.0
783,88,12,8,1,0,10,0.0
792,89,8,8,1,0,10,0.0
804,90,11,9,1,0,10,0.0
819,91,14,9,1,0,10,0.0
835,92,15,9,1,0,10,0.0
848,93,12,9,1,0,10,0.0
859,94,10,9,1,0,10,0.0
873,95,13,9,1,0,10,0.0
885,96,11,9,2,0,10,0.0
900,97,14,9,1,0,10,0.0
911,98,10,9,1,0,10,0.0
922,99,10,9,1,0,10,0.0
937,100,14,10,1,0,10,0.0
946,101,8,10,1,0,10,0.0
958,102,11,10,1,0,10,0.0
970,103,11,10,1,0,10,0.0
980,104,9,10,1,0,10,0.0
994,105,13,10,2,0,10,0.0
1007,106,12,10,1,0,10,0.0
1021,107,13,10,1,0,10,0.0
1031,108,9,10,1,0,10,0.0
1048,109,16,10,1,0,10,0.0
1059,110,10,11,1,0,10,0.0
1076,111,16,11,1,0,10,0.0
1094,112,17,11,1,0,10,0.0
1106,113,11,11,1,0,10,0.0
1118,114,11,11,1,0,10,0.0
1135,115,16,11,1,0,10,0.0
1148,116,12,11,1,0,10,0.0
1164,117,15,11,1,0,10,0.0
1181,118,16,11,2,0,10,0.0
1193,119,11,11,1,0,10,0.0
1204,120,10,12,1,0,10,0.0
1216,121,11,12,1,0,10,0.0
1231,122,14,12,1,0,10,0.0
1250,123,18,12,1,0,10,0.0
1264,124,13,12,2,0,10,0.0
1278,125,13,12,1,0,10,0.0
1295,126,16,12,1,0,10,0.0
1308,127,12,12,1,0,10,0.0
1320,128,11,12,1,0,10,0.0
1338,129,17,12,1,0,10,0.0
1356,130,17,13,1,0,10,0.0
1371,131,14,13,1,0,10,0.0
1379,132,7,13,1,0,10,0.0
1399,133,19,13,1,0,10,0.0
1416,134,16,13,1,0,10,0.0
1432,135,15,13,1,0,10,0.0
1451,136,18,13,1,0,10,0.0
1466,137,14,13,1,0,10,0.0
1475,138,8,13,1,0,10,0.0
1487,139,11,13,1,0,10,0.0
1500,140,12,14,1,0,10,0.0
1520,141,19,14,1,0,10,0.0
1533,142,12,14,1,0,10,0.0
1551,143,17,14,2,0,10,0.0
1569,144,17,14,1,0,10,0.0
1582,145,12,14,2,0,10,0.0
1592,146,9,14,1,0,10,0.0
1604,147,11,14,1,0,10,0.0
1621,148,16,14,2,0,10,0.0
1639,149,17,14,1,0,10,0.0
1657,150,17,15,1,0,10,0.0
1673,151,15,15,1,0,10,0.0
1687,152,13,15,1,0,10,0.0
1704,153,16,15,1,0,10,0.0
1717,154,12,15,1,0,10,0.0
1734,155,16,15,1,0,10,0.0
1748,156,13,15,1,0,10,0.0
1762,157,13,15,1,0,10,0.0
1781,158,18,15,1,0,10,0.0
1794,159,12,15,2,0,10,0.0
1810,160,15,16,1,0,10,0.0
1823,161,12,16,1,0,10,0.0
1836,162,12,16,1,0,10,0.0
1858,163,21,16,2,0,10,0.0
1875,164,16,16,1,0,10,0.0
1893,165,17,16,1,0,10,0.0
1912,166,18,16,1,0,10,0.0
1927,167,14,16,2,0,10,0.0
1945,168,17,16,1,0,10,0.0
1962,169,16,16,1,0,10,0.0
1977,170,14,17,1,0,10,0.0
1995,171,17,17,1,0,10,0.0
2017,172,21,17,1,0,10,0.0
2034,173,16,17,2,0,10,0.0
2051,174,16,17,1,0,10,0.0
2070,175,18,17,1,0,10,0.0
2082,176,11,17,1,0,10,0.0
2095,177,12,17,1,0,10,0.0
2108,178,12,17,1,0,10,0.0
2120,179,11,17,1,0,10,0.0
2137,180,16,18,1,0,10,0.0
2161,181,23,18,1,0,10,0.0
2175,182,13,18,1,0,10,0.0
2186,183,10,18,1,0,10,0.0
2210,184,23,18,1,0,10,0.0
2225,185,14,18,1,0,10,0.0
2243,186,17,18,1,0,10,0.0
2260,187,15,18,1,0,10,0.0
2275,188,14,18,1,0,10,0.0
2295,189,19,18,1,0,10,0.0
2318,190,22,19,1,0,10,0.0
2335,191,16,19,1,0,10,0.0
2350,192,14,19,1,0,10,0.0
2362,193,11,19,1,0,10,0.0
2376,194,13,19,1,0,10,0.0
2393,195,16,19,1,0,10,0.0
2405,196,11,19,1,0,10,0.0
2421,197,15,19,1,0,10,0.0
2433,198,11,19,1,0,10,0.0
2449,199,15,19,1,0,10,0.0
2468,200,18,20,1,0,10,0.0
